Date,Invoice_ID,Customer_ID,Customer_Age_Group,Gender,State,Product_Category,Product_Name,Season,Unit_Price,Quantity_Sold,Total_Sales,Payment_Method,Sales_Channel,Promo_Code_Used,Discount_Amount,Net_Sales
11/24/2025,INV100000,CUST2824,18-25,Others,Sabah,Bottoms,Batik Skirt,Normal,45.12,1,45.12,Cash,Instagram,Yes,6.34,38.78
4/22/2025,INV100001,CUST4811,18-25,Others,Johor,Hijabs,Cotton Hijab,Chinese New Year,100.86,3,302.58,Cash,In-Store,No,0,302.58
6/24/2025,INV100002,CUST5552,26-35,Male,Sarawak,Tops,Floral Blouse,Normal,88.39,3,265.17,E-Wallet (TnG),Shopee,Yes,37.84,227.33
10/2/2025,INV100003,CUST3045,46-60,Male,Sabah,Hijabs,Cotton Hijab,Normal,123.92,1,123.92,Cash,In-Store,No,0,123.92
2/10/2025,INV100004,CUST4814,18-25,Female,Sabah,Footwear,Sandals,Ramadan,49.28,3,147.84,Credit Card,Shopee,Yes,32.41,115.43
3/29/2025,INV100005,CUST9751,26-35,Male,Negeri Sembilan,Footwear,Sneakers,Normal,198.11,5,990.5500000000001,Credit Card,Shopee,Yes,15.31,975.2400000000001
1/17/2025,INV100006,CUST6168,46-60,Female,Kuala Lumpur,Bottoms,Palazzo Pants,Year End,76.64,4,306.56,E-Wallet (GrabPay),Instagram,Yes,16.92,289.64
5/7/2025,INV100007,CUST9830,36-45,Others,Perak,Hijabs,Cotton Hijab,Ramadan,59.48,2,118.96,E-Wallet (GrabPay),Online,Yes,43.75,75.21
3/20/2025,INV100008,CUST3621,46-60,Others,Kuala Lumpur,Footwear,Sneakers,Normal,127.26,4,509.04,E-Wallet (TnG),Online,Yes,35.68,473.36
10/2/2025,INV100009,CUST5371,36-45,Male,Sabah,Footwear,Heels,Normal,101.67,3,305.01,Credit Card,Online,No,0,305.01
11/24/2025,INV100010,CUST9317,26-35,Male,Sarawak,Bottoms,Palazzo Pants,Normal,191.63,5,958.15,Cash,Shopee,No,0,958.15
1/10/2025,INV100011,CUST2832,36-45,Female,Johor,Tops,Floral Blouse,Merdeka,190.45,1,190.45,E-Wallet (GrabPay),Online,Yes,10.78,179.67
9/1/2025,INV100012,CUST3705,36-45,Others,Perak,Bottoms,Palazzo Pants,Normal,155.95,2,311.9,E-Wallet (TnG),Instagram,No,0,311.9
8/13/2025,INV100013,CUST9479,46-60,Male,Johor,Bottoms,Batik Skirt,Ramadan,23.79,5,118.94999999999999,Credit Card,In-Store,Yes,8.19,110.75999999999999
11/20/2025,INV100014,CUST1964,26-35,Male,Selangor,Accessories,Handbag,Normal,112.55,3,337.65,E-Wallet (GrabPay),In-Store,Yes,37.55,300.09999999999997
10/20/2025,INV100015,CUST8744,26-35,Female,Perak,Bottoms,Batik Skirt,Normal,37.45,4,149.8,E-Wallet (TnG),Instagram,No,0,149.8
8/28/2025,INV100016,CUST1887,18-25,Male,Perak,Accessories,Handbag,Chinese New Year,54.49,5,272.45,E-Wallet (GrabPay),In-Store,No,0,272.45
4/4/2025,INV100017,CUST5563,46-60,Male,Kuala Lumpur,Footwear,Sandals,New Year,29.11,5,145.55,Cash,Online,Yes,12.48,133.07000000000002
9/6/2025,INV100018,CUST8886,26-35,Female,Selangor,Bottoms,Slim Fit Jeans,Normal,20.39,4,81.56,E-Wallet (TnG),Instagram,No,0,81.56
8/5/2025,INV100019,CUST8973,26-35,Male,Sabah,Bottoms,Batik Skirt,Merdeka,152.43,1,152.43,E-Wallet (TnG),Online,Yes,31.29,121.14000000000001
9/15/2025,INV100020,CUST9701,26-35,Male,Kuala Lumpur,Bottoms,Batik Skirt,Normal,127.11,2,254.22,E-Wallet (GrabPay),Online,Yes,31.05,223.17
1/21/2025,INV100021,CUST2343,46-60,Others,Sarawak,Accessories,Handbag,Year End,148.91,2,297.82,E-Wallet (TnG),Instagram,Yes,35.23,262.59
